职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
天猫美工/平面设计师,国旅(深圳)国际旅行社有限公司福田华强北营业部,,大专,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/255781131250041.htm
Phthon开发工程师/Odoo开发工程师,深圳市蓝泰源信息技术股份有限公司,,大专,1-3年,15001-20000元/月,100-499人,,http://jobs.zhaopin.com/562217824250341.htm
视频后期制作,深圳市手游圈信息科技有限公司,,不限,1-3年,5000-10000元/月,20-99人,,http://jobs.zhaopin.com/437210337250072.htm
摄影跟拍/摄影助理/服装搭配跟拍,深圳市乐承服饰有限公司,,不限,,5000-6500元/月,100-499人,,http://jobs.zhaopin.com/687459723250110.htm
深度学习系统工程师,深圳市中网彩网络技术有限公司,,硕士,1-3年,15001-20000元/月,100-499人,,http://jobs.zhaopin.com/201825514250792.htm
网站工程师,深圳市美辰科技有限公司,,大专,1-3年,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/280025112250153.htm
软件工程师,深圳市大族数控科技有限公司,,本科,1-3年,8000-15000元/月,500-999人,,http://jobs.zhaopin.com/334402316250215.htm
SLAM算法/机器人算法工程师,深圳市镭神智能系统有限公司,,本科,,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/286299889250075.htm
光学工程师,深圳市镭神智能系统有限公司,,本科,3-5年,10000-16000元/月,100-499人,,http://jobs.zhaopin.com/286299889250122.htm
软件工程师,深圳市光大激光科技股份有限公司,,本科,,10001-15000元/月,1000-9999人,,http://jobs.zhaopin.com/144585308251060.htm
摄影美工/精修美工,深圳市优胜仕贸易有限公司,,不限,,6000-9000元/月,20-99人,,http://jobs.zhaopin.com/440984511250135.htm
500万股权价值 诚聘应用软件工程师,深圳市顺禾电器科技有限公司,,本科,1-3年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/151975816250145.htm
市场营销,深圳黎明镒清图像技术有限公司,,大专,,4000-8000元/月,20-99人,,http://jobs.zhaopin.com/463078812250070.htm
电气工程师,深圳黎明镒清图像技术有限公司,,本科,,4000-8000元/月,20-99人,,http://jobs.zhaopin.com/463078812250072.htm
品质管理工程师,深圳黎明镒清图像技术有限公司,,大专,3-5年,4500-9000元/月,20-99人,,http://jobs.zhaopin.com/463078812250075.htm
视觉算法开发工程师,珠海习悦信息技术有限公司,,本科,,10000-20000元/月,20-99人,,http://jobs.zhaopin.com/276629281250100.htm
软件开发工程师(002360),华大基因,,不限,,6000-12000元/月,1000-9999人,,http://jobs.zhaopin.com/195931818258568.htm
C++软件工程师,深圳市雄帝科技股份有限公司,,大专,1-3年,7000-14000元/月,500-999人,,http://jobs.zhaopin.com/147223018250321.htm
企划专员/主管,棕榈生态城镇发展股份有限公司,,本科,1-3年,5000-7000元/月,1000-9999人,,http://jobs.zhaopin.com/141534199253568.htm
淘宝美工,深圳小虫米子时尚设计有限公司,,大专,,5000-7000元/月,100-499人,,http://jobs.zhaopin.com/439921611250298.htm
算法工程师,深圳前海鹏元数据技术有限公司,,硕士,3-5年,20001-30000元/月,20-99人,,http://jobs.zhaopin.com/345929786250009.htm
美工设计主管/ 网页设计主管,深圳云和数据信息技术有限公司,,大专,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/392850630250246.htm
软件工程师,深圳市智速测量信息技术有限公司,,大专,3-5年,10001-15000元/月,20人,,http://jobs.zhaopin.com/CZ728264940J00013122107.htm
机械设计工程师3,深圳市智速测量信息技术有限公司,,大专,5-10年,10001-15000元/月,20人,,http://jobs.zhaopin.com/CZ728264940J00013121607.htm
电气设计工程师2,深圳市智速测量信息技术有限公司,,大专,5-10年,10001-15000元/月,20人,,http://jobs.zhaopin.com/CZ728264940J00013121707.htm
架构工程师,深圳锐通信息技术有限公司,,本科,5-10年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/590911421250007.htm
.Net 软件 开发 可在Home Work,软控股份有限公司 ,,本科,,,1000-9999人,,http://jobs.zhaopin.com/121014769254548.htm
海外市场开拓专员/经理,深圳市创显光电有限公司,,本科,3-5年,5000-10000元/月,100-499人,,http://jobs.zhaopin.com/CZ161397410J00005129506.htm
美工,深圳市智安天下科技有限公司,,大专,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/517496323250056.htm
视频工程师,珠海市杰理科技有限公司,,本科,1-3年,6001-8000元/月,100-499人,,http://jobs.zhaopin.com/386384713250044.htm
视频工程师,珠海市杰理科技有限公司,,本科,1-3年,6001-8000元/月,100-499人,,http://jobs.zhaopin.com/386384713250106.htm
静物修图师，产品修图师，美工,深圳大千视觉摄影设计有限公司,,不限,1-3年,4000-6000元/月,20人,,http://jobs.zhaopin.com/CZ742318940J00036425701.htm
急招——设计师、平面设计师、美工设计、企划,露台咖啡餐饮(深圳)有限公司,,大专,1-3年,4000-7000元/月,20-99人,,http://jobs.zhaopin.com/CZ724939440J00048373501.htm
C#软件工程师/软件开发工程师,深圳市燕麦科技股份有限公司,,本科,3-5年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/483288421250059.htm
机器视觉助理工程师,深圳雷柏科技股份有限公司,,大专,,6001-8000元/月,1000-9999人,,http://jobs.zhaopin.com/395221613251084.htm
通信系统工程师,深圳光启高等理工研究院,,本科,1-3年,10001-15000元/月,1000-9999人,,http://jobs.zhaopin.com/217234823251944.htm
文员助理,深圳伊特液压设备有限公司,,不限,1-3年,4001-6000元/月,20人,,http://jobs.zhaopin.com/CZ724342240J00047665401.htm
亚马逊速卖通美工 拍图精修店铺美工,深圳市欧旋风科技有限公司,,不限,,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/540385921250051.htm
软件测试工程师,深圳市友信长丰科技有限公司,,大专,,6000-8000元/月,20-99人,,http://jobs.zhaopin.com/313844682250036.htm
机器视觉算法工程师（可接受应届毕业生）,深圳市友信长丰科技有限公司,,硕士,,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/313844682250022.htm
美工,深圳市酷尾巴电子商务有限公司,,大专,1-3年,4000-8000元/月,20-99人,,http://jobs.zhaopin.com/502804536250001.htm
商务技术标书专员,深圳友讯达科技股份有限公司,,大专,,4001-6000元/月,500-999人,,http://jobs.zhaopin.com/467534614251614.htm
产品设计师,深圳市源兴发科技有限公司,,大专,1-3年,6000-12000元/月,100-499人,,http://jobs.zhaopin.com/444314618250428.htm
业务员女 底薪+提成,深圳市合利通光电有限公司,,不限,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/CZ726295040J00048086801.htm
嵌入式软件工程师（偏IPC）,丰唐物联技术(深圳)有限公司,,本科,3-5年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/446607612250774.htm
售前工程师,珠海习悦信息技术有限公司,,本科,1-3年,15000-30000元/月,20-99人,,http://jobs.zhaopin.com/276629281250086.htm
三维动效设计师,深圳数虎图像股份有限公司,,本科,1-3年,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/215849714250721.htm
VC++ 程序员,深圳市国信合成科技有限公司,,大专,1-3年,6001-8000元/月,100-499人,,http://jobs.zhaopin.com/152749814250014.htm
嵌入式/单片机软件工程师,深圳市唯奥视讯技术有限公司,,大专,,5000-10000元/月,100-499人,,http://jobs.zhaopin.com/200421517250127.htm
课程设计师,中咨联教育科技(深圳)有限公司,,本科,1-3年,5000-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ724165340J00012678707.htm
产品摄影师,深圳市墨言文化传媒有限公司,,不限,1-3年,5000-8000元/月,20人,,http://jobs.zhaopin.com/CZ739381040J00048794701.htm
模型师,家加家科技(深圳)有限公司,,本科,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ725552740J00016263603.htm
游戏UI设计师,深圳市千羽手游科技有限公司,,大专,1-3年,8000-12000元/月,20-99人,,http://jobs.zhaopin.com/652903225250057.htm
FAE 工程师,深圳捷恩捷微电子有限公司,,大专,3-5年,8001-10000元/月,20人,,http://jobs.zhaopin.com/389007215250006.htm
产品经理,深圳市斯远电子技术有限公司,,本科,3-5年,7000-13000元/月,20-99人,,http://jobs.zhaopin.com/303598117250142.htm
微信公众号运营/运营推广/网络运营,深圳市数智国兴信息科技有限公司,,大专,1-3年,5000-6000元/月,20-99人,,http://jobs.zhaopin.com/262364612250131.htm
高级IOS研发工程师,怡亚通供应链股份有限公司 ,,本科,5-10年,15000-25000元/月,10000人,,http://jobs.zhaopin.com/000592781257851.htm
嵌入式软件工程师,深圳市南园天工电子有限公司,,大专,,4001-6000元/月,20人,,http://jobs.zhaopin.com/CZ736260240J00047160001.htm
摄影/摄像师,华清控股(深圳)有限公司,,大专,,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/377699930250074.htm
软件工程师,深圳市新良田科技股份有限公司,,本科,,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/703362527250010.htm
外贸业务跟单,深圳市阿玛达科技有限公司,,大专,,2500-4000元/月,20-99人,,http://jobs.zhaopin.com/CZ732882640J00023199401.htm
外贸业务员业务跟单业务助理,深圳市阿玛达科技有限公司,,大专,,3000-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ732882640J00023157501.htm
电商美工,深圳市海洲鹰电子有限公司,,大专,1-3年,4000-8000元/月,100-499人,,http://jobs.zhaopin.com/286805085250023.htm
算法助理工程师,深圳市锐明技术股份有限公司,,本科,,6001-8000元/月,500-999人,,http://jobs.zhaopin.com/289850186250078.htm
前端开发工程师（深圳岗位）,广州市亿博信息技术有限公司,,大专,1-3年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/255272815250486.htm
品质管理员(QA),深圳市网今科技有限公司,,不限,,2001-4000元/月,20-99人,,http://jobs.zhaopin.com/255054018250019.htm
市场推广专员,深圳米视生物医疗有限公司,,不限,,4500-7000元/月,20-99人,,http://jobs.zhaopin.com/318353833250027.htm
超声算法工程师（后端）,武汉中旗生物医疗电子有限公司,,硕士,1-3年,10000-20000元/月,100-499人,,http://jobs.zhaopin.com/653000429250443.htm
高级ISP工程师,深圳英飞拓科技股份有限公司,,本科,5-10年,15001-20000元/月,1000-9999人,,http://jobs.zhaopin.com/177430223250444.htm
ISP研发工程师,普联技术有限公司,,本科,,10001-15000元/月,10000人,,http://jobs.zhaopin.com/120073817250758.htm
网站运维,深圳国民基金管理有限公司,,大专,,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/573419828250280.htm
AOI视觉工程师（工作地点珠海）,深圳市诺途科技有限公司,,大专,,8001-10000元/月,20人,,http://jobs.zhaopin.com/610599726250047.htm
合伙人/高管,深圳市汇金智能科技有限公司,,本科,10年,15001-20000元/月,20-99人,,http://jobs.zhaopin.com/266631637250137.htm
咖啡厅店长,深圳市汇金智能科技有限公司,,大专,3-5年,8001-10000元/月,20-99人,,http://jobs.zhaopin.com/266631637250138.htm
文案,深圳市腾邦国际商业服务股份有限公司,,本科,1-3年,6001-8000元/月,1000-9999人,,http://jobs.zhaopin.com/192368421251314.htm
DVR软件工程师,深圳市路畅科技股份有限公司,,本科,1-3年,12000-24000元/月,1000-9999人,,http://jobs.zhaopin.com/145338901250211.htm
行政助理,深圳顺泰克照明有限公司,,大专,,2001-4000元/月,100-499人,,http://jobs.zhaopin.com/424889010250115.htm
业务助理,深圳顺泰克照明有限公司,,大专,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/424889010250110.htm
UI设计师,深圳市百利玛建材发展有限公司,,大专,,6500-12500元/月,100-499人,,http://jobs.zhaopin.com/658808025250009.htm
效果图渲染师、动画场景师,深圳市瀚方数码图像设计有限公司,,大专,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ723813140J00016190303.htm
美工,慧伦宠物护理(深圳)有限公司,,大专,,4001-6000元/月,20人,,http://jobs.zhaopin.com/491447523250099.htm
软件工程师,深圳市神州普元科技有限公司,,大专,1-3年,5000-8000元/月,20-99人,,http://jobs.zhaopin.com/425005812250165.htm
高薪急聘--销售代表,深圳市网今科技有限公司,,中专,,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/255054018250008.htm
3d模型贴图师,家加家科技(深圳)有限公司,,本科,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ725552740J00015809703.htm
vr虚拟现实开发,家加家科技(深圳)有限公司,,本科,1-3年,9000-18000元/月,20-99人,,http://jobs.zhaopin.com/CZ725552740J00015809003.htm
主题乐园设计师,深圳市永利兴游乐设备有限公司,,不限,1-3年,8001-10000元/月,20-99人,,http://jobs.zhaopin.com/502401826250045.htm
资深设计师,深圳市永利兴游乐设备有限公司,,本科,5-10年,8001-10000元/月,20-99人,,http://jobs.zhaopin.com/502401826250063.htm
亚马逊电商美工,深圳市亿沃通科技有限公司,,大专,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/599585123250029.htm
装配工程师,深圳黎明镒清图像技术有限公司,,高中,3-5年,4000-8000元/月,20-99人,,http://jobs.zhaopin.com/463078812250071.htm
网站编辑,深圳全民商城网络科技有限公司,,大专,,4000-5000元/月,20-99人,,http://jobs.zhaopin.com/429929739250022.htm
项目经理（影视宣传片类,深圳水晶石数字科技有限公司,,本科,3-5年,10000-20000元/月,100-499人,,http://jobs.zhaopin.com/605889625250023.htm
硬件工程师,北京环宇万维科技有限公司,,本科,,15000-30000元/月,100-499人,,http://jobs.zhaopin.com/533168623250856.htm
机器学习算法工程师,深圳市比特原子科技有限公司,,硕士,3-5年,12500-25000元/月,20-99人,,http://jobs.zhaopin.com/CZ743590540J00038231801.htm
嵌入式软件工程师（视频监控方向）,南京物联传感技术有限公司,,本科,3-5年,15001-20000元/月,100-499人,,http://jobs.zhaopin.com/427467619250423.htm
嵌入式软件工程师,哈尔滨奥松机器人科技股份有限公司,,本科,3-5年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/315952115250273.htm
市场专员,深圳市中元易汇投资发展有限公司,,大专,1-3年,5000-8000元/月,20-99人,,http://jobs.zhaopin.com/504716333250005.htm
摄影摄像师,南京微伊猫珠宝有限公司,,不限,,5000-8000元/月,100-499人,,http://jobs.zhaopin.com/261583710251041.htm
UI设计师,深圳爱玩网络科技股份有限公司,,大专,1-3年,7000-12000元/月,100-499人,,http://jobs.zhaopin.com/359356318250103.htm
淘宝美工,深圳市万品源电子科技有限公司,,大专,1-3年,6000-8000元/月,20-99人,,http://jobs.zhaopin.com/235720482250013.htm
电商美工淘宝美工（可提供住宿/双休）,深圳市诗宏科技有限公司,,不限,1年,4001-6000元/月,20人,,http://jobs.zhaopin.com/CZ725517740J00013024307.htm
软件工程师/系统架构师,深圳普捷利科技有限公司,,本科,5-10年,20001-30000元/月,20-99人,,http://jobs.zhaopin.com/425714525250057.htm
软件工程师（C++、OPENGL）,深圳普捷利科技有限公司,,本科,3-5年,15000-25000元/月,20-99人,,http://jobs.zhaopin.com/425714525250056.htm
平面设计,深圳天源新能源股份有限公司,,本科,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/262891317250124.htm
FPGA开发工程师,深圳市唯奥视讯技术有限公司,,不限,,10000-20000元/月,100-499人,,http://jobs.zhaopin.com/200421517250140.htm
软件测试工程师,乐普(深圳)国际发展中心有限公司,,本科,3-5年,6000-12000元/月,1000-9999人,,http://jobs.zhaopin.com/467861338250006.htm
摄影师,深圳市粤豪珠宝有限公司,,大专,1-3年,3000-6000元/月,500-999人,,http://jobs.zhaopin.com/145260467250003.htm
FPGA软件工程师,深圳市美好幸福生活安全系统有限公司,,不限,,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/700243625250028.htm
软件工程师,深圳隆庆智能激光科技有限公司,,本科,,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/480061680250001.htm
美工设计师,盘石信用管理（深圳）有限公司,,不限,3-5年,5000-8000元/月,20-99人,,http://jobs.zhaopin.com/384417189250022.htm
移动互联网游戏前端开发,深圳市心与心智能科技有限公司,,本科,1-3年,8000-12000元/月,20人,,http://jobs.zhaopin.com/CZ730857840J00036415901.htm
IOS工程师,深圳云消费网络科技有限公司,,不限,3-5年,9000-10000元/月,100-499人,,http://jobs.zhaopin.com/406401330250059.htm
视觉开发工程师,深圳三铭电气有限公司,,本科,3-5年,8000-15000元/月,20-99人,,http://jobs.zhaopin.com/283040580250032.htm
文案策划,深圳市乐元成光电科技有限公司,,大专,3-5年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ735668740J00016098603.htm
camera驱动开发工程师,深圳市麦极客图像技术有限公司,,本科,3-5年,15000-25000元/月,20-99人,,http://jobs.zhaopin.com/CZ736718240J00018920401.htm
信息技术主管,深圳市乐元成光电科技有限公司,,本科,5-10年,12000-20000元/月,20-99人,,http://jobs.zhaopin.com/CZ735668740J00016098403.htm
高级文员,深圳市乐元成光电科技有限公司,,本科,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ735668740J00016097603.htm
阿里巴巴网络运营推广,深圳市吉丰光电有限公司,,中专,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ745493940J00048562201.htm
跨境电商 产品开发 专员,深圳市半秒科技有限公司,,不限,,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/227541130250053.htm
效果图建模,深圳市符号数字图像有限公司,,不限,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/667883422250012.htm
商务助理,深圳洛普智能科技有限公司,,大专,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/CZ732549440J00048562001.htm
仓管员,深圳洛普智能科技有限公司,,中专,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/CZ732549440J00048561301.htm
平面设计,深圳吉瑞汽车用品有限公司,,大专,5-10年,6999-7999元/月,20-99人,,http://jobs.zhaopin.com/689413727250002.htm
销售工程师,深圳洛普智能科技有限公司,,大专,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/CZ732549440J00048559301.htm
ASP.net工程师,深圳洛普智能科技有限公司,,大专,1-3年,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/CZ732549440J00048558601.htm
嵌入式软件开发工程师,深圳洛普智能科技有限公司,,大专,3-5年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/CZ732549440J00048555701.htm
美工/渲染师/3D MAX渲染市,深圳市恒泰博远贸易有限公司,,大专,,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/310967080250079.htm
高级JAVA开发工程师,深圳市得色科技有限公司,,本科,3-5年,15000-30000元/月,100-499人,,http://jobs.zhaopin.com/CZ742429440J00045655701.htm
高级运营经理,深圳市得色科技有限公司,,本科,5-10年,15000-25000元/月,100-499人,,http://jobs.zhaopin.com/CZ742429440J00048550701.htm
采购员兼物控,深圳洛普智能科技有限公司,,大专,,4000-5000元/月,100-499人,,http://jobs.zhaopin.com/CZ732549440J00048537501.htm
IQC组长,深圳磊明科技有限公司,,中专,1-3年,4000-5500元/月,500-999人,,http://jobs.zhaopin.com/132846837250069.htm
算法工程师,深圳明锐理想科技有限公司,,本科,,12000-20000元/月,20-99人,,http://jobs.zhaopin.com/363999414250156.htm
文案,深圳市智诚兴关务管理咨询有限公司,,大专,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/288747838250003.htm
FPGA工程师,吉林省福斯匹克科技有限责任公司,,本科,1-3年,8001-10000元/月,20-99人,,http://jobs.zhaopin.com/398979130250016.htm
模拟电路设计工程师,吉林省福斯匹克科技有限责任公司,,硕士,3-5年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/398979130250018.htm
c++程序员,深圳市科视创科技有限有限公司,,大专,1-3年,8001-10000元/月,20-99人,,http://jobs.zhaopin.com/467908620250038.htm
光学研发工程师,深圳科瑞技术股份有限公司,,硕士,,8000-12000元/月,500-999人,,http://jobs.zhaopin.com/144812863250132.htm
软件工程师,深圳市智信精密仪器有限公司,,大专,1-3年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/469866117250026.htm
销售代表,深圳市振邦视界科技有限公司,,大专,,5000-10000元/月,20人,,http://jobs.zhaopin.com/CZ743054940J00023141801.htm
平面设计师,深圳联达技术实业有限公司,,本科,,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/200479028250299.htm
MIG09-NLP高级算法工程师,深圳腾讯计算机系统有限公司 ,,本科,3-5年,,10000人,,http://jobs.zhaopin.com/120072290288658.htm
JobReqID:6641 软件测试实习生,深圳迈瑞生物医疗电子股份有限公司 ,,本科,1-3年,2000-4000元/月,1000-9999人,,http://jobs.zhaopin.com/000577607257864.htm
方案设计师,深圳市宝鹰建设集团股份有限公司,,本科,5-10年,15001-20000元/月,100-499人,,http://jobs.zhaopin.com/CZ743866840J00009673001.htm
高级硬件工程师,深圳市乐元成光电科技有限公司,,本科,3-5年,10000-20000元/月,20-99人,,http://jobs.zhaopin.com/CZ735668740J00000101003.htm
助理软件工程师实习生,北京胜龙科技股份有限公司,,本科,,6001-8000元/月,100-499人,,http://jobs.zhaopin.com/000416527250126.htm
硬件维护工程师,深圳市富浩鹏电子有限公司,,中专,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ797915980J00012804007.htm
硬件工程师,深圳市富浩鹏电子有限公司,,大专,3-5年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ797915980J00012803607.htm
技术支持工程师,深圳市富浩鹏电子有限公司,,大专,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ797915980J00012802407.htm
绘图员（印刷包装行业）,力嘉包装(深圳)有限公司,,中专,1-3年,4001-6000元/月,1000-9999人,,http://jobs.zhaopin.com/145440519250061.htm
视频技术总监,深圳市阳光博睿教育技术有限公司,,不限,,15000-30000元/月,100-499人,,http://jobs.zhaopin.com/259759213250223.htm
DSP软件开发工程师,深圳市美的连医疗电子股份有限公司,,大专,1-3年,10001-15000元/月,500-999人,,http://jobs.zhaopin.com/326771834250010.htm
3d模型师,深圳市几何图像科技有限公司,,大专,1-3年,5000-10000元/月,20-99人,,http://jobs.zhaopin.com/CZ725574540J00012894007.htm
平面设计,深圳市蓝禾科技有限公司,,大专,1-3年,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/648996928250310.htm
Android Camera,文思海辉技术有限公司 Pactera Technology International Limited ,,本科,3-5年,,10000人,,http://jobs.zhaopin.com/120220260269659.htm
天猫美工设计 摄影美工 淘宝美工 电商美工 网店美工,深圳锐图电子有限公司,,不限,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/240739380250251.htm
软件测试工程师,深圳市富浩鹏电子有限公司,,大专,3-5年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ797915980J00012883607.htm
光学工程师,深圳扑浪创新科技有限公司,,硕士,,9000-15000元/月,20人,,http://jobs.zhaopin.com/459404880250000.htm
视觉算法工程师,深圳市招科智控科技有限公司,,硕士,1-3年,15001-20000元/月,20-99人,,http://jobs.zhaopin.com/276955189250023.htm
美工/摄影/电商平面设计师,深圳星霸国际贸易有限公司,,不限,,5000-8000元/月,20-99人,,http://jobs.zhaopin.com/275267234250035.htm
家家顺诚聘兼职实勘摄影师,深圳市家家顺房产交易有限公司,,不限,,2001-4000元/月,10000人,,http://jobs.zhaopin.com/422856183265164.htm
网络管理员,深圳市科盾科技有限公司,,本科,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/615002925250112.htm
家家顺诚聘兼职兼职摄影师,深圳市家家顺房产交易有限公司,,不限,,2001-4000元/月,10000人,,http://jobs.zhaopin.com/422856183265163.htm
驾驶辅助工程师,比亚迪股份有限公司,,本科,1-3年,8001-10000元/月,10000人,,http://jobs.zhaopin.com/132962994250514.htm
无人驾驶技术工程师,比亚迪股份有限公司,,硕士,1-3年,10001-15000元/月,10000人,,http://jobs.zhaopin.com/132962994250515.htm
机器人双目视觉SLAM算法工程师,深圳睛灵科技有限公司,,硕士,1-3年,15000-30000元/月,20人,,http://jobs.zhaopin.com/CZ731322040J00013412405.htm
视频处理算法工程师,深圳市华儒科技有限公司,,本科,1-3年,7500-15000元/月,20-99人,,http://jobs.zhaopin.com/287990310250054.htm
电商美工/亚马逊美工,深圳思诺信达科技有限公司,,大专,1-3年,5000-10000元/月,20-99人,,http://jobs.zhaopin.com/267062886250030.htm
机器学习算法工程师,深圳市善行医疗科技有限公司,,不限,,10000-20000元/月,500-999人,,http://jobs.zhaopin.com/404202580250017.htm
机器学习算法工程师,深圳市善行医疗科技有限公司,,不限,,10001-15000元/月,500-999人,,http://jobs.zhaopin.com/404202580250020.htm
视觉应用工程师,深圳商巨智能设备股份有限公司,,本科,,8000-15000元/月,100-499人,,http://jobs.zhaopin.com/364610812250404.htm
JobReqID:6383 深度学习算法工程师,深圳迈瑞生物医疗电子股份有限公司 ,,硕士,1-3年,10000-15000元/月,1000-9999人,,http://jobs.zhaopin.com/000577607257839.htm
博士研究员（云计算、大数据、音视频方向）,深圳市茁壮网络股份有限公司,,博士,,20001-30000元/月,500-999人,,http://jobs.zhaopin.com/193111429251017.htm
高级软件工程师,深圳市卫邦科技有限公司,,本科,,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/354623719250092.htm
信号处理算法工程师,深圳市华儒科技有限公司,,不限,,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/287990310250046.htm
软件工程师,深圳市华儒科技有限公司,,不限,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/287990310250048.htm
JobReqID:6904 媒体推广专员,深圳迈瑞生物医疗电子股份有限公司 ,,本科,1-3年,6000-10000元/月,1000-9999人,,http://jobs.zhaopin.com/000577607257838.htm
电商设计/平面设计师,深圳市蓝禾科技有限公司,,大专,,7000-14000元/月,100-499人,,http://jobs.zhaopin.com/648996928250297.htm
ipqc专员,深圳市创显光电有限公司,,中技,1-3年,3000-5000元/月,100-499人,,http://jobs.zhaopin.com/CZ161397410J00006563206.htm
QT软件工程师,深圳市创显光电有限公司,,大专,1-3年,4000-8000元/月,100-499人,,http://jobs.zhaopin.com/CZ161397410J00006562906.htm
生产文员,深圳市创显光电有限公司,,大专,1-3年,3000-4500元/月,100-499人,,http://jobs.zhaopin.com/CZ161397410J00006562706.htm
陈列师,深圳市汇美影像文化股份有限公司,,大专,3-5年,6000-10000元/月,100-499人,,http://jobs.zhaopin.com/CZ726469940J00015732303.htm
推广员,深圳市博大建设集团有限公司,,大专,1-3年,6001-8000元/月,100-499人,,http://jobs.zhaopin.com/134566982250145.htm
专/兼职IT讲师,北京中科信软科技有限公司,,本科,3-5年,20001-30000元/月,100-499人,,http://jobs.zhaopin.com/219501818250006.htm
平面设计师,深圳市海勤科技有限公司,,不限,,4500-6000元/月,100-499人,,http://jobs.zhaopin.com/147465464250173.htm
企业策划,深圳市盛业置业控股有限公司,,大专,1-3年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/337169188250016.htm
市场专员,深圳思泰克光电科技有限公司,,大专,1-3年,6001-8000元/月,100-499人,,http://jobs.zhaopin.com/579432422250089.htm
硬件工程师五险一金+补助+双休,北京世普荣新科技有限公司,,中专,,4001-6000元/月,500-999人,,http://jobs.zhaopin.com/476472628274881.htm
机械视觉开发工程师,深圳市策维科技有限公司,,大专,3-5年,8001-10000元/月,1000-9999人,,http://jobs.zhaopin.com/386322812250717.htm
WT11-ATU-算法工程师,大联大商贸（深圳）有限公司,,本科,5-10年,10001-15000元/月,1000-9999人,,http://jobs.zhaopin.com/200007013252506.htm
业务总监,深圳市晶彩数码图像有限公司,,大专,3-5年,15001-20000元/月,100-499人,,http://jobs.zhaopin.com/226183012250056.htm
研发部主管（工作地点-长沙）,深圳市艾能可电子商务有限公司,,不限,1-3年,8001-10000元/月,20-99人,,http://jobs.zhaopin.com/567906122250181.htm
技术员,深圳市富浩鹏电子有限公司,,大专,,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ797915980J00012685407.htm
