职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
高级图像算法工程师,深圳市泰爻光电科技有限公司,初创型(不需要融资),本科,不限,15k-30k,15-50人,2017-05-08 09:33:17,https://www.lagou.com/jobs/2858031.html
图像测试工程师,深圳岚锋创视网络科技有限公司,成长型(B轮),本科,1-3年,8k-16k,150-500人,2017-05-20 09:44:57,https://www.lagou.com/jobs/2906846.html
图像算法开发工程师 （实习）,深圳信龙系统有限公司,初创型(未融资),硕士,不限,3k-6k,15-50人,2017-05-09 18:47:02,https://www.lagou.com/jobs/2933855.html
高级图像深度学习工程师,深圳市耐能人工智能有限公司,成长型(A轮),硕士,3-5年,30k-40k,15-50人,2017-05-15 11:22:37,https://www.lagou.com/jobs/3119036.html
高级C++图像算法工程师,万兴科技股份有限公司,成长型(B轮),本科,3-5年,20k-40k,150-500人,2017-05-04 14:54:19,https://www.lagou.com/jobs/2361596.html
图像视觉算法工程师,深圳市同讯信息技术有限公司,初创型(未融资),不限,不限,5k-7k,15-50人,2017-04-20 09:31:19,https://www.lagou.com/jobs/2864718.html
嵌入式软件工程师摄像机工程师NVR音视频图像底层存储,深圳市景阳科技股份有限公司,初创型(未融资),本科,1-3年,10k-20k,500-2000人,2017-05-16 09:07:52,https://www.lagou.com/jobs/2691730.html
高级图像识别算法工程师,深圳尊豪网络科技股份有限公司,成长型(A轮),硕士,5-10年,20k-30k,150-500人,2017-05-12 13:58:33,https://www.lagou.com/jobs/2933942.html
算法工程师 （图像优化）,深圳市云之梦科技有限公司,成长型(A轮),本科,1-3年,14k-25k,50-150人,2017-05-16 17:52:37,https://www.lagou.com/jobs/3104082.html
​图像识别,金蝶软件（中国）有限公司,上市公司,本科,1-3年,10k-20k,2000人以上,2017-05-16 16:13:31,https://www.lagou.com/jobs/3061220.html
图像识别工程师,维沃移动通信有限公司,初创型(未融资),本科,3-5年,20k-40k,2000人以上,2017-05-05 09:46:12,https://www.lagou.com/jobs/2750789.html
图像识别深度学习工程师,深圳市前海树人时代教育投资有限公司,成长型(A轮),本科,不限,15k-30k,15-50人,2017-05-08 11:20:04,https://www.lagou.com/jobs/2596272.html
图像识别算法工程师,金蝶软件（中国）有限公司,上市公司,本科,1-3年,12k-18k,2000人以上,2017-05-09 16:45:55,https://www.lagou.com/jobs/2899317.html
高级算法工程师（图像视觉）,深圳市云之梦科技有限公司,成长型(A轮),硕士,3-5年,18k-36k,50-150人,2017-05-16 17:52:37,https://www.lagou.com/jobs/2735585.html
资深算法工程师（图像视觉方向）,深圳市云之梦科技有限公司,成长型(A轮),博士,5-10年,30k-60k,50-150人,2017-05-16 17:52:37,https://www.lagou.com/jobs/2735569.html
算法工程师（图像视觉）,深圳市云之梦科技有限公司,成长型(A轮),本科,1-3年,10k-20k,50-150人,2017-05-16 17:52:37,https://www.lagou.com/jobs/2735596.html
图像识别/深度学习工程师,深圳市云之梦科技有限公司,成长型(A轮),本科,3-5年,20k-40k,50-150人,2017-05-16 17:52:37,https://www.lagou.com/jobs/3111563.html
